бл_стательный | территория
обг_реть | уровень
расспр_си | воплощение
р_стовщичество | дешёвый
доб_раться | украшение
карн_вальный | корректный
мон_лог | монолог
эксп_римент | вазелин
нав_гация | навигация
вым_кший | вымокший
нар_щение | наращение
ут_пический | утопический
отобр_жать | отображать
безотл_гательно | безотлагательно
неукр_тимый | неукротимый
дост_жение | достижение
подн_маться | совмещать
колл_кционный | коллекционный
г_ниальный | гениальный
п_ломничество | паломничество
изобр_зительный | изобразительный
тр_ктовать | трактовать
п_йзажист | пейзажист
кроп_тливая | кропотливая
р_стительность | программирование
пр_зидент | президент
заг_рающий | карниз
морф_логия | обогащать
зам_сить | замесить
м_тинговать | митинговать
запр_щать | запрещать
осв_домлённый | осведомлённый
верт_кальный | вертикальный
изб_рательный | тенденциозный
т_рпение | терпение
персп_ктивный | оберегаемый
анал_зировать | анализировать
конф_ренция | конференция
нар_стающий | информировать
упр_щённый | упрощённый
п_ровать | заблестеть
р_зультативный | результативный
пог_рельцы | конкретизировать
прим_риться | примириться
обд_рать | распоряжение
пр_молинейный | прямолинейный
за_вить | заявить
сист_матизировать | систематизировать
подд_ржать | поддержать
характ_ристика | характеристика
класс_цистический | классицистический
ор_ентировочный | ориентировочный
лим_тированный | лимитированный
разг_рающийся | систематизация
выб_рется | выберется
повстр_чаться | повстречаться
те_тральный | театральный
прик_саться | организационный
п_литра | палитра
эксп_нат | ответвление
аттракц_он | аттракцион
ц_линдрический | цилиндрический
традиц_я | традиция
объед_нение | объединение
переск_чу | сонеты
разн_мать | жираф
л_г | лёг
тв_рение | творение
маж_рный | мажорный
наш_л | ухажёр
зам_рло | замерло
прот_реть | протереть
щ_пковый | щепковый
ст_рожилы | ополчение
выск_чка | пловец
дир_жёр | спишите
выд_рать | выдарать
м_раторий | мораторий
метаф_ра | почитатель
обж_гаться | обжигаться
прож_вать | проживать
ед_номышленники | запевала
оф_церский | офицерский
обр_зность | образность
либер_лизм | покарать
прив_дение | привидение
выч_тание | вычитание
вин_грет | аккомпанировать
ан_логичный | анологичный
пол_гаться | конфликтующий
перекл_каться | инженер
прим_рять | приласкать
ц_ганский | панцирь
ц_плёнок | цыплёнок
вп_чатлить | впечатлить
трущ_бы | трущобы
зач_т | рассмешить
подст_лить | пожимать
ж_лтый | жёлтый
маж_рная | мажорная
отб_рает | озираться
б_ллетень | трясина
ос_зание | осязание
фант_стический | фантастический
тр_диционный | традиционный
подр_сти | оснащение
т_лант | талант
г_лерея | разбогатеть
пор_сль | поросль
провозгл_шать | провозглашать
кор_фей | корифей
ц_стерна | цистерна
ун_тожить | унитожить
выр_внять | команда
покл_ниться | поклониться
иск_зить | исказить
г_ристая | сомневаться
сб_режения | сбережения
бл_стящий | блестящий
д_лёкий | проглотить
насл_ждение | возложение
акв_рельные | акварельные
в_щественные | вещественные
осл_плённый | ослеплённый
сув_ренитет | суверенитет
аб_туриент | абитуриент
соб_рательный | словосочетание
упр_щение | упрощение
благосл_вение | благословение
распол_жение | расположение
д_ржать | держать
т_рпеть | терпеть
мер_диан | меридиан
т_ржественный | торжественный
впл_тну | новелла
оз_рение | конкурент
ст_рониться | сторониться
проч_тать | прочитать
ч_стота | чистота
сж_мать | сжимать
упл_тнять | росли
укр_титель | укротитель
к_нонада | канонада
предл_жение | предложение
пром_чить | промочить
бл_стать | напоминать
расст_лать | обоняние
пл_вцы | пловцы
кап_шон | вытереть
выв_ска | вывеска
ош_ломлённый | ошеломлённый
энциклопед_дист | энциклопедедист
прив_легия | привилегия
разв_вать | развивать
з_рница | поласкать
г_рмоничный | гармоничный
ц_вилизация | цивилизация
ц_тата | цитата
прор_дить | проредить
р_цензент | рецензент
интелл_ктуальный | загромождать
к_мпания | компания
т_мительный | томительный
сотв_рить | сотворить
г_ризонт | объединяющий
подн_мать | петербургский
п_лисадник | благочестивый
в_лосипед | велосипед
ц_клический | циклический
ц_линдр | цилиндр
ди_пазон | недосягаемый
просв_щение | просвещение
сж_г | сжег
трущ_ба | трущоба
пощ_чина | пощечина
ст_пендия | стипендия
нач_нать | начинать
раст_рать | берёзовый
скр_пят | возрождение
возр_зить | возразить
разг_релся | сокровенные
затв_рить | затворить
ч_рный | черный
щ_лка | щелка
ож_г | ожог
соц_альный | социальный
ц_гане | циклон
разм_наться | разминаться
с_дина | симптомы
прож_рливый | прожорливый
ш_рты | шорты
ж_луди | жёлуди
мот_вировать | мотивировать
ист_на | истина
экспр_ссивный | экспрессивный
отск_чить | рациональный
ц_трусовые | цитрусовые
зам_реть | замереть
разв_вается | развивается
щ_лкнуть | щёлкнуть
ш_в | росток
обр_мление | обрамление
симп_тичный | симпатичный
р_внина | закоренелый
восп_лительный | воспалительный
гр_мадных | громадных
тр_стник | тростник
умн_жение | умножение
ин_ем | иньем
разв_ваются | развиваются
подр_стковый | подростковый
кр_мешная | кромешная
отн_мать | заблестал
см_риться | помириться
л_петать | лепетать
выб_рать | демонстрировать
разж_гание | разжигание
ф_гурировать | фигурировать
ут_шение | утешение
пок_яние | покаяние
с_тирический | виноватый
пол_нявшая | полинявшая
заст_лать | застилать
об_яние | обаяние
сокр_щение | сокращение
приск_кать | прискакать
песс_мистический | невнимательный
тр_нироваться | тренироваться
м_нталитет | менталитет
ч_столюбивый | честолюбивый
выб_решь | выберешь
поч_тать | почитать
зап_вать | запевать
усм_рённый | росистый
оз_рять | задержать
осв_щение | освещение
сож_ление | сожаление
зап_реть | декларация
велос_педный | велосипедный
сж_гать | сжигать
усм_рять | притереться
увл_кательный | увлекательный
б_речь | беречь
увл_каться | увлекаться
ц_нтральный | центральный
объ_вление | объявление
выт_сненный | вытесненный
п_ссимизм | пессимизм
пл_нительный | пленительный
м_нералы | минералы
экз_менатор | экзаменатор
заг_дать | загадать
р_скошный | роскошный
ур_вновесить | неукоснительно
к_лыхать | колыхать
дел_катес | деликатес
соч_тать | офицер
прокл_нать | проклинать
р_весник | ровесник
нав_ждение | наваждение
анн_тация | аннотация
выгл_деть | выглядеть
